Timestep,Total_Spikes,Network_Activity
0,0,-70.00
1,1,-66.38
2,1,-53.58
3,0,-53.87
4,0,-65.87
5,0,-66.19
6,0,-66.27
7,1,-66.84
8,0,-54.52
9,0,-67.84
10,0,-66.63
11,1,-65.90
12,0,-54.52
13,0,-67.04
14,0,-65.87
15,0,-66.52
16,0,-65.87
17,0,-66.44
18,1,-66.63
